Item Name,Link
Scrap 4x6 (30cm Long),
Scrap Plywood Board (28x65cm),
M5 Hardware,https://www.amazon.com/gp/product/B07CYHFQ7S/ref=ppx_yo_dt_b_asin_title_o09_s00?ie=UTF8&psc=1
M5 Threaded Rods (Cut to 10cm),https://www.amazon.com/gp/product/B09FSZF1FR/ref=ppx_yo_dt_b_asin_title_o07_s00?ie=UTF8&th=1
Rose Joint,https://www.amazon.com/gp/product/B08P13KRLM/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&th=1
Misc Washers,https://www.amazon.com/gp/product/B009OK4TZO/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1
50mm M5 Bolts,https://www.amazon.com/gp/product/B09MRGZ473/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&th=1
10k Potentiometers,https://www.amazon.com/gp/product/B09XDR799P/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&th=1
Drawer Slides,https://www.amazon.com/gp/product/B0000DD4A1/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&th=1
Asst Springs,https://www.amazon.com/gp/product/B0B9BDRK25/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1
Ball Bearings,https://www.amazon.com/gp/product/B07ZNR134Z/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1
L Brackets,https://www.amazon.com/gp/product/B07N1KJBSW/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1